INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("glycyrrhiza glabra", "alcaçuz");
INSERT INTO SINONIMOS VALUES("hamamelis virginica", "hamamélis");
INSERT INTO SINONIMOS VALUES("mentha piperita", "hortelã");
INSERT INTO SINONIMOS VALUES("oleum ricini", "óleo de castor");
INSERT INTO SINONIMOS VALUES("Potentilla Tormentilla", "bloodroot");
INSERT INTO SINONIMOS VALUES("Tanacetum Parthenium", "matricária");
INSERT INTO SINONIMOS VALUES("Ranunculus bulbosus", "botão de ouro");
INSERT INTO SINONIMOS VALUES("rhamnus purshiana", "cascara sagrada");
INSERT INTO SINONIMOS VALUES("sabal serrulata", "viu o palmetto");
INSERT INTO SINONIMOS VALUES("mídia stellaria", "chickweed");
INSERT INTO SINONIMOS VALUES("Abbas alba", "árvore de Natal");
INSERT INTO SINONIMOS VALUES("vitis quinquefolia", "woodbine");
INSERT INTO SINONIMOS VALUES("xanthoxylum fraxineum", "cinzas espinhosas");
INSERT INTO SINONIMOS VALUES("iso-bid", "isobid");
INSERT INTO SINONIMOS VALUES("Kanesten", "canesten");
INSERT INTO SINONIMOS VALUES("rico", "rico");
INSERT INTO SINONIMOS VALUES("dificuldades de má gestão", "problemas");
INSERT INTO SINONIMOS VALUES("estenose subaórtica hipertrófica idiopática", "ihss");
INSERT INTO SINONIMOS VALUES("ectático", "dilatado");
INSERT INTO SINONIMOS VALUES("banheiro", "penico");
INSERT INTO SINONIMOS VALUES("escoliose adquirida", "coluna lateral da curvatura desenvolvida após o nascimento");
INSERT INTO SINONIMOS VALUES("dobrar", "corpo inclinado");
INSERT INTO SINONIMOS VALUES("irredutível e", "encarcerado");
INSERT INTO SINONIMOS VALUES("cannabis sativa", "maconha");
INSERT INTO SINONIMOS VALUES("constrição da pupila", "miose");
INSERT INTO SINONIMOS VALUES("abuso químico mentalmente doente", "diagnóstico duplo");
INSERT INTO SINONIMOS VALUES("bloco neuromuscular de observação", "relaxamento muscular");
INSERT INTO SINONIMOS VALUES("observação do paciente", "espera vigilante");
INSERT INTO SINONIMOS VALUES("observações", "descobertas clínicas relacionadas");
INSERT INTO SINONIMOS VALUES("agendamento de atividades", "definição de metas");
INSERT INTO SINONIMOS VALUES("palato", "telhado de boca");
INSERT INTO SINONIMOS VALUES("benzilpenicilina", "penicilina g");
INSERT INTO SINONIMOS VALUES("sal monopotássio", "potássio");
INSERT INTO SINONIMOS VALUES("cefazolina", "cefazolina");
INSERT INTO SINONIMOS VALUES("encontro", "supervisão");
INSERT INTO SINONIMOS VALUES("operação de hanlon blalock", "septostomia atrial");
INSERT INTO SINONIMOS VALUES("izoptina", "isoptin");
INSERT INTO SINONIMOS VALUES("yumex", "jumex");
INSERT INTO SINONIMOS VALUES("nebicina", "nebcin");
INSERT INTO SINONIMOS VALUES("neurilemoma", "schwannoma");
INSERT INTO SINONIMOS VALUES("/minuto", "por minuto");
INSERT INTO SINONIMOS VALUES("ausência congênita orelha externa não especificada", "anotia");
INSERT INTO SINONIMOS VALUES("emoliente", "tópica");
INSERT INTO SINONIMOS VALUES("etinil", "norgestrel-etinil");
INSERT INTO SINONIMOS VALUES("guaifenesina-pseudoefedrina", "pseudoefedrina-guaifenesina");
INSERT INTO SINONIMOS VALUES("marca sulfanilamida", "AVC");
INSERT INTO SINONIMOS VALUES("Burow", "tocas");
INSERT INTO SINONIMOS VALUES("picolinato de crômio", "CRM");
INSERT INTO SINONIMOS VALUES("piritionato de zinco", "Caspa");
INSERT INTO SINONIMOS VALUES("emoliente tópico", "Assaduras");
INSERT INTO SINONIMOS VALUES("nome comercial", "Marca de gotas para os ouvidos");
INSERT INTO SINONIMOS VALUES("fumarato", "Furão");
INSERT INTO SINONIMOS VALUES("tartrato de hidrocodona da marca du pont", "hycodan");
INSERT INTO SINONIMOS VALUES("lgg", "guaifenesina-dyphylline");
INSERT INTO SINONIMOS VALUES("mentol tópico", "Gelo Mineral");
INSERT INTO SINONIMOS VALUES("sulfato de morfina da marca", "Concentrado OMS");
INSERT INTO SINONIMOS VALUES("carbonato de cálcio", "ostra");
INSERT INTO SINONIMOS VALUES("tretinoína", "Renova");
INSERT INTO SINONIMOS VALUES("apap / clorfeniramina / pseudoefedrina", "Singlete");
INSERT INTO SINONIMOS VALUES("subsalicilato de bismuto", "Marca de estresse");
INSERT INTO SINONIMOS VALUES("marca bálsamo peru / óleo de rícino / tripsina", "Pulverizador TBC");
INSERT INTO SINONIMOS VALUES("mulheres", "mulher");
INSERT INTO SINONIMOS VALUES("alfa", "alfa");
INSERT INTO SINONIMOS VALUES("levo-metanfetamina", "l-desoxyephedrine");
INSERT INTO SINONIMOS VALUES("guaifenesina", "Expectorante");
INSERT INTO SINONIMOS VALUES("constrição pupilar observada", "miose");
INSERT INTO SINONIMOS VALUES("sistema legal", "lei");
INSERT INTO SINONIMOS VALUES("aumento do íon hidrogênio", "ph baixo");
INSERT INTO SINONIMOS VALUES("feto", "bebê não nascido");
INSERT INTO SINONIMOS VALUES("soludactona", "soldactona");
INSERT INTO SINONIMOS VALUES("dedo ausente", "oligodactilia");
INSERT INTO SINONIMOS VALUES("printen mason operação alta desvio", "vertical");
INSERT INTO SINONIMOS VALUES("travoginia", "Ginecogenia");
INSERT INTO SINONIMOS VALUES("combinação de benzocaina-cloreto de cetalkonium", "Spray de garganta dolorida AAA");
INSERT INTO SINONIMOS VALUES("metanossulfonato", "mesilato");
INSERT INTO SINONIMOS VALUES("sultilains", "sutilains");
INSERT INTO SINONIMOS VALUES("região lombar lateral do abdome", "flanco");
INSERT INTO SINONIMOS VALUES("renal", "gerota");
INSERT INTO SINONIMOS VALUES("nicotiana tabacum", "planta de tabaco");
INSERT INTO SINONIMOS VALUES("antes valores", "pré");
INSERT INTO SINONIMOS VALUES("doença obstrutiva crônica das vias aéreas", "copd");
INSERT INTO SINONIMOS VALUES("séptico", "supurativo");
INSERT INTO SINONIMOS VALUES("licitações frágeis com deficiência intelectual - diminuição da fertilidade - síndrome de baixa estatura", "tricotiodistrofia");
INSERT INTO SINONIMOS VALUES("uso de álcool", "bebendo");
INSERT INTO SINONIMOS VALUES("estágio final", "terminal");
INSERT INTO SINONIMOS VALUES("proteína C-reativa", "crp");
INSERT INTO SINONIMOS VALUES("doença pulmonar crônica", "cld");
INSERT INTO SINONIMOS VALUES("ou se", "fixação interna de redução aberta");
INSERT INTO SINONIMOS VALUES("poli", "muitos");
INSERT INTO SINONIMOS VALUES("internado", "pacientes");
INSERT INTO SINONIMOS VALUES("contagem de glóbulos brancos", "wbc");
INSERT INTO SINONIMOS VALUES("com envolvimento do sistema nervoso central", "lúpus cns");
INSERT INTO SINONIMOS VALUES("cortical", "cerebral");
INSERT INTO SINONIMOS VALUES("região frontal", "testa");
INSERT INTO SINONIMOS VALUES("spielmeyer-vogt", "sarrafo");
INSERT INTO SINONIMOS VALUES("adenohipofisário", "pituitária anterior");
INSERT INTO SINONIMOS VALUES("infundibular", "hipófise");
INSERT INTO SINONIMOS VALUES("tumores da bainha do nervo periférico", "schwannoma");
INSERT INTO SINONIMOS VALUES("cegueira de negação psíquica", "síndrome de anton");
INSERT INTO SINONIMOS VALUES("pavor nocturnus", "terror noturno");
INSERT INTO SINONIMOS VALUES("síndrome de mioclonia noturna", "distúrbio periódico do movimento dos membros");
INSERT INTO SINONIMOS VALUES("lesões", "trauma");
INSERT INTO SINONIMOS VALUES("alexia", "palavra cegueira");
INSERT INTO SINONIMOS VALUES("síndromes", "gravis");
INSERT INTO SINONIMOS VALUES("pseudodistonia", "distonia psicogênica");
INSERT INTO SINONIMOS VALUES("urinário", "pancreático");
INSERT INTO SINONIMOS VALUES("preparação de equinácea", "extrato de coneflower");
INSERT INTO SINONIMOS VALUES("alfa1-microglobulina", "bikunin");
INSERT INTO SINONIMOS VALUES("proteína homeobox pitx1", "bft");
INSERT INTO SINONIMOS VALUES("rDN de telomerase bovina", "btr");
INSERT INTO SINONIMOS VALUES("subunidade alfa do receptor humano da interleucina 3", "cd123");
INSERT INTO SINONIMOS VALUES("ferrocyn", "hexacianoferrato");
INSERT INTO SINONIMOS VALUES("3-hidroxibutanal", "Aldol");
INSERT INTO SINONIMOS VALUES("proteína cornichon", "cni");
INSERT INTO SINONIMOS VALUES("rutênio ben", "Ruben");
INSERT INTO SINONIMOS VALUES("iodo-131-tositumomab", "anti-b1");
INSERT INTO SINONIMOS VALUES("fosfato monobásico", "bifosfato");
INSERT INTO SINONIMOS VALUES("erwinia asparaginase", "crisantaspase");
INSERT INTO SINONIMOS VALUES("preparação leonurus cardiaca", "motherwort");
INSERT INTO SINONIMOS VALUES("heptaidrato de sulfato de magnésio", "sal epsom");
INSERT INTO SINONIMOS VALUES("pwdr", "em pó");
INSERT INTO SINONIMOS VALUES("kit", "urina");
INSERT INTO SINONIMOS VALUES("órteses", "braçadeira");
INSERT INTO SINONIMOS VALUES("myrtillus do vaccinium", "Boldo");
INSERT INTO SINONIMOS VALUES("cólicas", "espasmo");
INSERT INTO SINONIMOS VALUES("deleção do cromossomo 11q", "jacobsen");
INSERT INTO SINONIMOS VALUES("disostose ectodactilia-mandíbulo-facial", "fontaine");
INSERT INTO SINONIMOS VALUES("aparência facial acromegaloide", "Hughes");
INSERT INTO SINONIMOS VALUES("ets variante", "ETV6");
INSERT INTO SINONIMOS VALUES("anticorpo anti-sulfatide", "sulfatide ab");
INSERT INTO SINONIMOS VALUES("acer negundo", "caixa de ancião");
INSERT INTO SINONIMOS VALUES("cdkn2b", "inibidor de quinase dependente de ciclina 2B");
INSERT INTO SINONIMOS VALUES("cabeça de órteses", "bandas de cranioplastia");
INSERT INTO SINONIMOS VALUES("administração de medicação:", "injeção");
INSERT INTO SINONIMOS VALUES("oncogene dbl", "Gene MCF2");
INSERT INTO SINONIMOS VALUES("oncogene pim-1", "Gene PIM1");
INSERT INTO SINONIMOS VALUES("gene smarcb1", "rdt");
INSERT INTO SINONIMOS VALUES("fkhl1", "caixa de garfos G1B");
INSERT INTO SINONIMOS VALUES("gene do transdutor de sinal de cálcio associado ao tumor 1", "ksa");
INSERT INTO SINONIMOS VALUES("oncogene", "Gene MAS1");
INSERT INTO SINONIMOS VALUES("deleção do cromossomo 11p", "moleiro");
INSERT INTO SINONIMOS VALUES("oculo-dento-digital", "gorlin");
INSERT INTO SINONIMOS VALUES("kai1", "CD82");
INSERT INTO SINONIMOS VALUES("l-dromoran", "Levo-dromoran");
INSERT INTO SINONIMOS VALUES("hábito", "viciante");
INSERT INTO SINONIMOS VALUES("alcalinidade da acidez", "equilíbrio ph");
INSERT INTO SINONIMOS VALUES("ação racional", "comportamento planejado");
INSERT INTO SINONIMOS VALUES("res psiquiátrico. entrevista f. transtornos mentais da substância", "prisma");
INSERT INTO SINONIMOS VALUES("inventário de triagem sutil de abuso de substâncias", "sassi");
INSERT INTO SINONIMOS VALUES("revisão dos serviços de tratamento", "tsr");
INSERT INTO SINONIMOS VALUES("escala de autoeficácia para abstinência de álcool", "aase");
INSERT INTO SINONIMOS VALUES("questionário de expectativa de beber", "deq");
INSERT INTO SINONIMOS VALUES("questionário de estrutura motivacional", "msq");
INSERT INTO SINONIMOS VALUES("adolescentes de instrumentos de rastreio orientados para o problema", "postular");
INSERT INTO SINONIMOS VALUES("classificação de tratamento", "tipos de terapias");
INSERT INTO SINONIMOS VALUES("paciente baseado em computador", "médico eletrônico");
INSERT INTO SINONIMOS VALUES("acessibilidade de disponibilidade econômica", "acessibilidade");
INSERT INTO SINONIMOS VALUES("covariância de análise", "ancova");
INSERT INTO SINONIMOS VALUES("Aprendendo", "condicionado");
INSERT INTO SINONIMOS VALUES("redução de danos", "saúde");
INSERT INTO SINONIMOS VALUES("entrevista diagnóstica adolescente", "adi");
INSERT INTO SINONIMOS VALUES("drusa", "drusa");
INSERT INTO SINONIMOS VALUES("Trochlea", "tubérculo");
INSERT INTO SINONIMOS VALUES("tendinoso", "rotador");
INSERT INTO SINONIMOS VALUES("trombocitose", "alta contagem de plaquetas");
INSERT INTO SINONIMOS VALUES("placenta", "pós-parto");
INSERT INTO SINONIMOS VALUES("picada", "mordida");
INSERT INTO SINONIMOS VALUES("pseudocoarctação", "aorta torcendo");
INSERT INTO SINONIMOS VALUES("níveis de lipoproteínas de densidade", "ldl");
INSERT INTO SINONIMOS VALUES("tempo de tromboplastina parcial ativado", "aptt");
INSERT INTO SINONIMOS VALUES("trombose venosa profunda", "dvt");
INSERT INTO SINONIMOS VALUES("dietilestilbestrol", "des");
INSERT INTO SINONIMOS VALUES("deliberar", "intencional");
INSERT INTO SINONIMOS VALUES("exacerbado", "agravado");
INSERT INTO SINONIMOS VALUES("baixo ph", "ácido");
INSERT INTO SINONIMOS VALUES("hemoconcentração", "hemoconcentração");
INSERT INTO SINONIMOS VALUES("cianopsia", "visão azul");
INSERT INTO SINONIMOS VALUES("eletrocardiograma", "ekg");
INSERT INTO SINONIMOS VALUES("câncer hepático", "carcinoma hepático");
INSERT INTO SINONIMOS VALUES("hipertenso", "pressão alta");
INSERT INTO SINONIMOS VALUES("edema gravitacional", "edema ortostático");
INSERT INTO SINONIMOS VALUES("hiper ige", "hie");
INSERT INTO SINONIMOS VALUES("pth", "hormônio da paratireóide");
INSERT INTO SINONIMOS VALUES("infecção por plasmodium falciparum", "p.falciparum");
INSERT INTO SINONIMOS VALUES("infecção por ovoplasma de plasmodium", "p.ovale");
INSERT INTO SINONIMOS VALUES("infecção por plasmodium vivax", "p.vivax");
INSERT INTO SINONIMOS VALUES("extremidades inferiores", "perna");
INSERT INTO SINONIMOS VALUES("primigesta", "primeira gravidez");
INSERT INTO SINONIMOS VALUES("coma psicogênico", "pseudocoma");
INSERT INTO SINONIMOS VALUES("anticorpo antinuclear", "ana");
INSERT INTO SINONIMOS VALUES("sialolitos", "pedra salivar");
INSERT INTO SINONIMOS VALUES("CRTS", "tubo de raios catódicos");
INSERT INTO SINONIMOS VALUES("síntese", "sysnthesis");
INSERT INTO SINONIMOS VALUES("atingido", "greve");
INSERT INTO SINONIMOS VALUES("iluminação", "luz brilhante");
INSERT INTO SINONIMOS VALUES("cliente", "paciente");
INSERT INTO SINONIMOS VALUES("terapia de dessensibilização do movimento dos olhos", "emdr");
INSERT INTO SINONIMOS VALUES("interracial", "transracial");
INSERT INTO SINONIMOS VALUES("paisagens", "topografia");
INSERT INTO SINONIMOS VALUES("maturação humana", "deixe de ser criança");
INSERT INTO SINONIMOS VALUES("aspirações ocupacionais", "objetivos de carreira");
INSERT INTO SINONIMOS VALUES("ofidiofobia", "fobia de cobra");
INSERT INTO SINONIMOS VALUES("placa de exame de admissão da faculdade scholastic aptitude", "SENTOU");
INSERT INTO SINONIMOS VALUES("profecias autorrealizáveis", "efeito pygmalion");
INSERT INTO SINONIMOS VALUES("somestésico", "vestibular");
INSERT INTO SINONIMOS VALUES("doente terminal", "morrendo");
INSERT INTO SINONIMOS VALUES("padrões", "intergeracional");
INSERT INTO SINONIMOS VALUES("atrito experimental", "desistentes de pesquisa");
INSERT INTO SINONIMOS VALUES("duração", "comprimento");
INSERT INTO SINONIMOS VALUES("fluorodesoxiglucose", "fdg");
INSERT INTO SINONIMOS VALUES("preparação de farelo", "grama");
INSERT INTO SINONIMOS VALUES("continência urinária", "bexiga");
INSERT INTO SINONIMOS VALUES("histiocitose hematofágica", "hemofagocitose");
INSERT INTO SINONIMOS VALUES("esofagite por citomegalovírus", "esofagite cmv");
INSERT INTO SINONIMOS VALUES("hipoestesia", "entorpecido");
INSERT INTO SINONIMOS VALUES("automático", "espástica");
INSERT INTO SINONIMOS VALUES("hemicrania", "enxaqueca unilateral");
INSERT INTO SINONIMOS VALUES("audição distorcida", "disacusia");
INSERT INTO SINONIMOS VALUES("taraxacum officinale", "dente de leão");
INSERT INTO SINONIMOS VALUES("dons", "66'-oxibis");
INSERT INTO SINONIMOS VALUES("Toalhetes", "lenços");
INSERT INTO SINONIMOS VALUES("limpeza pessoal de lenços", "panos");
INSERT INTO SINONIMOS VALUES("bms247550", "bms-247550");
INSERT INTO SINONIMOS VALUES("homólogo viral do oncogene do sarcoma felino", "Gene CSF1R");
INSERT INTO SINONIMOS VALUES("antirrhinum", "snapdragon");
INSERT INTO SINONIMOS VALUES("arctostaphylos", "manzanita");
INSERT INTO SINONIMOS VALUES("larix", "larício");
INSERT INTO SINONIMOS VALUES("preparação muscarius agaricus", "amanita");
INSERT INTO SINONIMOS VALUES("preparação de ambrosia artemisiifolia", "ragweed");
INSERT INTO SINONIMOS VALUES("preparação de ampelopsis quinquefolia", "virginia creeper");
INSERT INTO SINONIMOS VALUES("preparação de stellatum", "Estrela");
INSERT INTO SINONIMOS VALUES("calcarea ovi testae preparação", "casca de ovo");
INSERT INTO SINONIMOS VALUES("preparação vesicatoria cantharis", "mosca espanhola homeopática");
INSERT INTO SINONIMOS VALUES("preparação de ceanothus americanus", "raiz vermelha");
INSERT INTO SINONIMOS VALUES("cimex lectularius preparação homeopática", "percevejo");
INSERT INTO SINONIMOS VALUES("racemosa cimicifuga", "cohosh preto");
INSERT INTO SINONIMOS VALUES("preparação de citrus vulgaris", "laranja amarga");
INSERT INTO SINONIMOS VALUES("preparação convolvulus duartinus", "Glória da manhã");
INSERT INTO SINONIMOS VALUES("cornus florida preparação", "corniso");
INSERT INTO SINONIMOS VALUES("preparação homeopática crocus sativa", "açafrão");
INSERT INTO SINONIMOS VALUES("preparação de cyanea capillata", "medusa");
INSERT INTO SINONIMOS VALUES("preparação homeopática de culex musca", "droga mosquito");
INSERT INTO SINONIMOS VALUES("digitalis purpurea preparação homeopática", "dedaleira");
INSERT INTO SINONIMOS VALUES("conduz preparações homeopáticas", "serpente");
INSERT INTO SINONIMOS VALUES("preparação vulgar", "erva medicinal");
INSERT INTO SINONIMOS VALUES("preparação homeopática do equisetum hyemale", "cavalinha");
INSERT INTO SINONIMOS VALUES("eriodictyon californicum", "yerba santa");
INSERT INTO SINONIMOS VALUES("preparação rufa formica", "formiga vermelha homeopática");
INSERT INTO SINONIMOS VALUES("preparação de heloderma suspectum", "Monstro de Gila");
INSERT INTO SINONIMOS VALUES("preparação de hirudo medicinalis", "sanguessuga");
INSERT INTO SINONIMOS VALUES("juglans cinerea preparação", "butternut");
INSERT INTO SINONIMOS VALUES("preparação de juglans regia", "noz");
INSERT INTO SINONIMOS VALUES("preparação homeopática de latrodectus mactans", "Aranha viúva negra");
INSERT INTO SINONIMOS VALUES("preparação lathyrus sativus", "grão de bico");
INSERT INTO SINONIMOS VALUES("preparação homeopática de lonicera pericylmenum", "woodbine");
INSERT INTO SINONIMOS VALUES("preparação de opuntia vulgaris", "pera espinhosa");
INSERT INTO SINONIMOS VALUES("preparações homeopáticas pecten jacobaeus", "vieiras");
INSERT INTO SINONIMOS VALUES("preparação racemosa platanus", "planetree");
INSERT INTO SINONIMOS VALUES("preparação de pilocarpus jaborandi", "cânhamo indiano");
INSERT INTO SINONIMOS VALUES("sarothamnus scoparius preparação homeopática", "vassoura");
INSERT INTO SINONIMOS VALUES("preparação homeopática de scolopendra vilidicornis", "centopéia");
INSERT INTO SINONIMOS VALUES("preparação nigrum solanium", "cereja jerusalem");
INSERT INTO SINONIMOS VALUES("preparação de thuja lobbi", "Cedro vermelho");
INSERT INTO SINONIMOS VALUES("preparação de thuja occidentalis", "caramanchão vitae");
INSERT INTO SINONIMOS VALUES("preparação bearberry", "uva ursi");
INSERT INTO SINONIMOS VALUES("reed grama italiana", "remédio homeopático");
INSERT INTO SINONIMOS VALUES("preparação juniperus virginianus", "cedro vermelho homeopático");
INSERT INTO SINONIMOS VALUES("valproato semissódico", "divalproato de sódio");
INSERT INTO SINONIMOS VALUES("bimata", "maleato");
INSERT INTO SINONIMOS VALUES("isômero de ibuprofeno", "dexibuprofeno");
INSERT INTO SINONIMOS VALUES("terapia anti-retroviral altamente ativa", "haart");
INSERT INTO SINONIMOS VALUES("sti-571", "sti571");
INSERT INTO SINONIMOS VALUES("Ácido 2-propanóico", "vedaprofeno");
INSERT INTO SINONIMOS VALUES("enzima de clivagem app 2", "secretase");
INSERT INTO SINONIMOS VALUES("proteína de raiz curta", "shr");
INSERT INTO SINONIMOS VALUES("atp2a2", "serca2");
INSERT INTO SINONIMOS VALUES("ctn", "trans-crotonina");
INSERT INTO SINONIMOS VALUES("insônia", "insônia");
INSERT INTO SINONIMOS VALUES("armadilhas", "preso");
INSERT INTO SINONIMOS VALUES("próteses mamárias não especificadas se externo interno", "implante mamário");
INSERT INTO SINONIMOS VALUES("preparação estreptocócica ok-432", "ok432");
INSERT INTO SINONIMOS VALUES("oraldene", "hexoral");
INSERT INTO SINONIMOS VALUES("óxido de ferro monocristalino nonaparticle", "mion");
INSERT INTO SINONIMOS VALUES("synthrom", "sintrom");
INSERT INTO SINONIMOS VALUES("Círculos de DNA de excisão de rearranjo do receptor de células t", "trec");
INSERT INTO SINONIMOS VALUES("atm", "ataxia telangiectasia mutado");
INSERT INTO SINONIMOS VALUES("ritmo", "FURIM");
INSERT INTO SINONIMOS VALUES("síndrome de paget-schroetter", "trombose de esforço");
INSERT INTO SINONIMOS VALUES("glóbulos brancos", "wbc");
INSERT INTO SINONIMOS VALUES("odor", "odor");
INSERT INTO SINONIMOS VALUES("tomando banho", "bronzeamento");
INSERT INTO SINONIMOS VALUES("varrer a perfusão miocárdica", "teste de estresse com tálio");
INSERT INTO SINONIMOS VALUES("regime de manutenção", "ao controle");
INSERT INTO SINONIMOS VALUES("sponastrime", "síndrome de fanconi");
INSERT INTO SINONIMOS VALUES("ensaio imunoenzimático", "elispot");
INSERT INTO SINONIMOS VALUES("cardiotochogram", "monitoramento fetal");
INSERT INTO SINONIMOS VALUES("circunnidar", "radial");
INSERT INTO SINONIMOS VALUES("camada", "lâmina");
INSERT INTO SINONIMOS VALUES("cabeça parte frontal", "sinciput");
INSERT INTO SINONIMOS VALUES("viscerocranium", "esqueleto facial");
INSERT INTO SINONIMOS VALUES("areolar", "Montgomery's");
INSERT INTO SINONIMOS VALUES("anterior", "superior");
INSERT INTO SINONIMOS VALUES("parte cabeça", "região");
INSERT INTO SINONIMOS VALUES("tronco artéria segmentar basal posterior", "a10");
INSERT INTO SINONIMOS VALUES("tomografia computadorizada", "virtual");
INSERT INTO SINONIMOS VALUES("ct2103", "ct-2103");
INSERT INTO SINONIMOS VALUES("gênero dioscorea", "inhame planta");
INSERT INTO SINONIMOS VALUES("delphinium", "larkspur");
INSERT INTO SINONIMOS VALUES("Dromaius Novaehollandiae", "emu");
INSERT INTO SINONIMOS VALUES("combinação de tiroxina triiodotironina", "liotrix");
INSERT INTO SINONIMOS VALUES("castanea dentata", "castanha");
INSERT INTO SINONIMOS VALUES("verbascum", "verbasco");
INSERT INTO SINONIMOS VALUES("Hypericum perforatum", "erva de são joão");
INSERT INTO SINONIMOS VALUES("lípidos guggul", "gugulipid");
INSERT INTO SINONIMOS VALUES("preparação de lachesis mutus", "machado");
INSERT INTO SINONIMOS VALUES("e ecula", "rescula");
INSERT INTO SINONIMOS VALUES("preparação maculatum conium", "cicuta");
INSERT INTO SINONIMOS VALUES("preparação de perfoliatum eupatorium", "conjunto de bones");
INSERT INTO SINONIMOS VALUES("podophyllum peltatum", "mandrágora");
INSERT INTO SINONIMOS VALUES("preparação graveolens", "remédio homeopático");
INSERT INTO SINONIMOS VALUES("preparação de taxus baccata", "teixo remédio homeopático");
INSERT INTO SINONIMOS VALUES("preparação de aquilegia vulgaris", "aquilégia");
INSERT INTO SINONIMOS VALUES("extrato vulgar de beta", "beterraba");
INSERT INTO SINONIMOS VALUES("preparação do umbigo cotiledonar", "pennywort");
INSERT INTO SINONIMOS VALUES("preparação homeopática de taraxacum officinale", "dente de leão");
INSERT INTO SINONIMOS VALUES("preparação homeopática de datura stramonium", "estramônio");
INSERT INTO SINONIMOS VALUES("preparação homeopática do ranúnculo do ranúnculo", "botão de ouro");
INSERT INTO SINONIMOS VALUES("preparação de sanguinaria canadensis", "bloodroot");
INSERT INTO SINONIMOS VALUES("pápula", "nódulo");
INSERT INTO SINONIMOS VALUES("carya illinoinensis", "pecan");
INSERT INTO SINONIMOS VALUES("citrus aurantiifolia", "Lima");
INSERT INTO SINONIMOS VALUES("merluccius merluccius", "bate-papo");
INSERT INTO SINONIMOS VALUES("Prunus Avium", "gean");
INSERT INTO SINONIMOS VALUES("citrus paradisi", "toranja");
INSERT INTO SINONIMOS VALUES("marca floxuridina", "FUDR");
INSERT INTO SINONIMOS VALUES("glóbulo branco", "wbc");
INSERT INTO SINONIMOS VALUES("hemodinâmico", "hemodinâmica");
INSERT INTO SINONIMOS VALUES("hidrometra", "útero fluido");
INSERT INTO SINONIMOS VALUES("hemácia", "rbc");
INSERT INTO SINONIMOS VALUES("pele infiltração", "cútis");
INSERT INTO SINONIMOS VALUES("suspensão oral bp", "gel");
INSERT INTO SINONIMOS VALUES("hipoplástico", "aplástico");
INSERT INTO SINONIMOS VALUES("investigacional", "experimental");
INSERT INTO SINONIMOS VALUES("iieocolite", "ileocolite");
INSERT INTO SINONIMOS VALUES("zallouh", "ferula harmonis");
INSERT INTO SINONIMOS VALUES("tumor de células de hurthle", "oncocitoma");
INSERT INTO SINONIMOS VALUES("espondilartrite", "artrite espinhal");
INSERT INTO SINONIMOS VALUES("myristica fragrans", "árvore de noz-moscada");
INSERT INTO SINONIMOS VALUES("Prunus Armeniaca", "Damasco");
INSERT INTO SINONIMOS VALUES("serenoa", "sabal");
INSERT INTO SINONIMOS VALUES("berberis", "bérberis");
INSERT INTO SINONIMOS VALUES("tsuga", "árvore de cicuta");
INSERT INTO SINONIMOS VALUES("plantar", "ervas");
INSERT INTO SINONIMOS VALUES("sedge doce", "Acorus Calamus");
INSERT INTO SINONIMOS VALUES("rhus", "sumagre");
INSERT INTO SINONIMOS VALUES("não me toque", "jewelweed");
INSERT INTO SINONIMOS VALUES("vírus da febre aftosa", "fmdv");
INSERT INTO SINONIMOS VALUES("Phytolacca dodecandra", "endod");
INSERT INTO SINONIMOS VALUES("olíbano", "Boswellia Serrata");
INSERT INTO SINONIMOS VALUES("opuntia", "pera espinhosa");
INSERT INTO SINONIMOS VALUES("sileno", "steris");
INSERT INTO SINONIMOS VALUES("gynostemma pentaphyllum", "jiaogulan");
INSERT INTO SINONIMOS VALUES("cicer arietinum", "grão de bico");
INSERT INTO SINONIMOS VALUES("grão de bico", "grão de bico");
INSERT INTO SINONIMOS VALUES("cytisus", "vassoura");
INSERT INTO SINONIMOS VALUES("galega officinalis", "rue de cabra");
INSERT INTO SINONIMOS VALUES("angelica sinensis", "dong quai");
INSERT INTO SINONIMOS VALUES("curcuma longa", "açafrão");
INSERT INTO SINONIMOS VALUES("complexo antígeno leucocitário l1", "calprotectina");
INSERT INTO SINONIMOS VALUES("polissacarídeo mgn3", "mgn-3");
INSERT INTO SINONIMOS VALUES("proteína ml-iap", "vivendo");
INSERT INTO SINONIMOS VALUES("polímero de cristal líquido", "vectra");
INSERT INTO SINONIMOS VALUES("helicase lymphoid specific", "Proteína HELLS");
INSERT INTO SINONIMOS VALUES("ectonucleotídeo pirofosfatase fosfodiesterase 3", "cd203c");
INSERT INTO SINONIMOS VALUES("tecnécio tc 99m ciprofloxacina", "infecton");
INSERT INTO SINONIMOS VALUES("proteína pbx4", "Lázaro");
INSERT INTO SINONIMOS VALUES("viburno", "cãibra");
INSERT INTO SINONIMOS VALUES("phyllanthus emblica", "árvore de groselha indiana");
INSERT INTO SINONIMOS VALUES("fornecedor", "médico");
INSERT INTO SINONIMOS VALUES("zhi ya", "shiatsu");
INSERT INTO SINONIMOS VALUES("nelumbo nucifera", "lótus sagrado");
INSERT INTO SINONIMOS VALUES("preparação nutricional enteral", "tubo de alimentação");
